track_id,track_name,track_artist,track_popularity,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
6ho0GyrWZN3mhi9zVRW7xi,Losing It,FISHER,79,edm,0.76,0.964,2,-5.844,1,0.0576,0.00182,0.7,0.0974,0.641,125.0,248036
4bYJKHG6KLdGzHQRJMaFc8,Rock And Roll All Nite,KISS,3,rock,0.581,0.831,1,-8.045,1,0.107,0.0458,0.0,0.0782,0.885,144.684,168160
1VGlMYqPO1LHyclvfIMvWI,Snälla bli min (Hjalm Remix),Robin Lukovic,0,edm,0.661,0.76,8,-4.769,1,0.0268,0.000406,0.0407,0.611,0.439,99.993,271238
6BbINUfGabVyiNFJpQXn3x,Wicked,Future,62,rap,0.718,0.679,11,-5.899,0,0.0706,0.00191,0.0104,0.385,0.205,157.97,173347
1Ly0ssAgeM7YqdHptao8Oe,Paranoid,Black Sabbath,15,rock,0.426,0.619,4,-11.501,0,0.0722,8.44e-05,0.00239,0.17,0.382,162.721,168440
7rFxvKtiIeCfjmn1uKxmI9,Fantasía,Ozuna,60,latin,0.692,0.727,2,-5.586,1,0.094,0.208,0.000138,0.0995,0.786,180.079,175187
10qOPuwCijnI8dHz6uxwrr,El Mismo Sol - Jan Leyk Remix,Alvaro Soler,0,latin,0.617,0.939,8,-3.943,0,0.104,0.0706,6.63e-05,0.356,0.664,124.006,212381
6gk2V87atn7XaaAltdYsKd,Dance Tonight,Lucy Pearl,1,r&b,0.783,0.418,1,-5.801,1,0.0659,0.00564,0.00205,0.177,0.674,99.234,221267
4jZ9KCpaHeTUfnOd2pd8sY,Go to Sleep Little Baby,Niykee Heaton,47,pop,0.55,0.182,10,-12.543,1,0.0306,0.72,0.0,0.165,0.369,94.806,164153
6JLcz9UGiVxAmEZXlCucn5,Wobble,V.I.C.,59,latin,0.855,0.746,3,-3.777,0,0.232,0.402,0.0,0.146,0.375,95.026,321987
3RBk0P36O7wCMxF263jRJL,I Will Let You Down (feat. KLARA),Madison Mars,59,pop,0.608,0.918,0,-1.137,0,0.0684,0.199,0.0,0.309,0.422,126.022,182000
